ORF	gene	hmm_call	custom_call	biotradis_call	gumbel_call
MB0366	 -	NE	NE	NE	NE
MB0367C	 -	NE	NE	NE	U
MB0368	 -	NE	NE	NE	NE
MB0369	 mgtE	ES	NE	NE	ES
MB0370C	 fba	NE	AMB	ES	U
MB0371	 -	NE	NE	NE	NE
MB0372C	 -	NE	NE	NE	NE
MB0373C	 -	NE	NE	NE	S
MB0374C	 -	NE	AMB	NE	NE
MB0375C	 -	NE	NE	NE	NE
MB0376C	 -	NE	AMB	NE	U
MB0377C	 -	NE	NE	NE	U
MB0378C	 -	NE	NE	NE	NE
MB0379C	 -	NE	ES	NE	NE
MB0380C	 -	NE	NE	NE	NE
MB0381C	 -	NE	NE	NE	U
MB0382C	 -	NE	NE	NE	NE
MB0383C	 -	NE	NE	NE	NE
MB0384	 -	NE	NE	NE	S
MB0385	 -	NE	NE	NE	NE
MB0386	 secE2	NE	NE	NE	NE
MB0387C	 -	NE	NE	NE	NE
MB0388C	 -	ES	NE	NE	U
MB0389C	 pyrE	ES	AMB	AMB	U
MB0390C	 -	ES	ES	ES	ES
MB0391C	 clpB	NE	ES	ES	NE
MB0392	 -	NE	NE	NE	NE
MB0393	 -	NE	NE	NE	NE
MB0394C	 PPE9	NE	NE	NE	NE
MB0395	 purT	NE	NE	NE	NE
MB0396	 -	NE	NE	NE	U
MB0397	 metZ	NE	NE	NE	NE
MB0398C	 ndhA	NE	NE	NE	NE
MB0399	 -	NE	NE	NE	NE
MB0400C	 -	NE	NE	NE	NE
MB0401	 -	NE	NE	NE	NE
MB0402	 -	NE	NE	NE	NE
MB0403	 -	NE	NE	NE	U
MB0403A	 len: 82 aa. Equivalent to Rv0397A len: 82 aa	NE	NE	NE	NE
MB0404C	 -	NE	NE	NE	NE
MB0405C	 lpqK	NE	NE	NE	U
MB0406C	 fadE7	NE	AMB	NE	S
MB0407	 -	NE	AMB	NE	NE
MB0408C	 mmpL1b	NE	NE	NE	NE
MB0409C	 mmpL1a	NE	NE	NE	NE
MB0410C	 mmpS1	NE	NE	NE	U
MB0411	 fadD30	GD	NE	NE	NE
MB0412	 pks6a	NE	NE	NE	NE
MB0413	 pks6b	NE	NE	NE	NE
MB0414C	 -	NE	NE	NE	NE
MB0415	 fgd1	NE	NE	NE	U
MB0416	 pta	NE	NE	NE	U
MB0417	 ackA	NE	NE	NE	NE
MB0418C	 pknG	NE	NE	NE	NE
MB0419C	 glnH	NE	NE	NE	NE
MB0420C	 -	NE	NE	NE	NE
MB0421	 mutT3	GD	NE	NE	U
MB0422C	 thiE	ES	ES	ES	U
MB0423	 thiO	ES	ES	NE	S
MB0424	 thiS	ES	ES	ES	ES
MB0425	 thiG	NE	ES	ES	NE
MB0426	 lpqL	NE	NE	NE	NE
MB0427	 lpqM	NE	NE	NE	NE
MB0428C	 -	NE	NE	NE	NE
MB0429C	 -	ES	NE	NE	U
MB0430C	 thiD	ES	ES	ES	ES
MB0431C	 thiC	NE	ES	ES	NE
MB0432C	 -	NE	NE	NE	NE
MB0433C	 ctpH	NE	NE	NE	S
MB0434C	 -	NE	NE	NE	NE
MB0435C	 xthA	NE	NE	NE	NE
MB0436C	 -	NE	NE	NE	U
MB0437C	 def	NE	AMB	ES	S
MB0438	 -	NE	ES	ES	NE
MB0439	 -	NE	NE	NE	NE
MB0440	 sodC	NE	NE	NE	NE
MB0441	 -	NE	NE	NE	NE
MB0442	 -	NE	NE	NE	U
MB0443C	 -	NE	NE	NE	NE
MB0444C	 pssA	NE	NE	NE	NE
MB0445C	 psd	NE	AMB	NE	NE
MB0446C	 moeA2	NE	NE	NE	NE
MB0447C	 -	ES	NE	NE	ES
MB0448	 groEL2	NE	ES	ES	NE
MB0449C	 -	NE	NE	NE	NE
MB0450C	 PPE10	NE	NE	NE	NE
MB0451	 -	NE	NE	NE	NE
MB0452C	 -	NE	NE	NE	NE
MB0453C	 sigK	NE	NE	NE	NE
MB0454C	 -	NE	NE	NE	NE
MB0455C	 ufaA1	NE	NE	NE	NE
MB0456C	 -	NE	NE	NE	NE
MB0457C	 -	NE	NE	NE	U
MB0458C	 mmpL4	NE	NE	NE	NE
MB0459C	 mmpS4	NE	NE	NE	NE
MB0460	 -	NE	NE	NE	NE
MB0461	 PPE11	NE	NE	NE	NE
MB0462	 -	NE	NE	NE	U
MB0463C	 -	NE	NE	NE	NE
MB0464C	 echA2	NE	NE	NE	S
MB0465C	 -	NE	NE	NE	S
MB0466A	 len: 41 aa. Equivalent to Rv0456B len: 57 aa	NE	NE	NE	NE
MB0466C	 -	NE	NE	NE	NE
MB0467	 -	NE	NE	NE	NE
MB0468	 -	NE	NE	NE	S
MB0469	 -	NE	NE	NE	NE
MB0470	 -	NE	NE	NE	NE
MB0471	 lpd	NE	NE	NE	NE
MB0472	 -	NE	NE	NE	NE
MB0473C	 -	NE	NE	NE	NE
MB0474C	 -	NE	NE	NE	NE
MB0475	 -	NE	NE	NE	NE
MB0476	 icl	NE	NE	NE	NE
MB0477	 fadB2	NE	NE	NE	NE
MB0478	 umaA1	NE	NE	NE	NE
MB0479C	 pcaA	NE	NE	NE	NE
MB0480C	 -	NE	NE	NE	NE
MB0481C	 -	NE	NE	NE	NE
MB0482C	 -	NE	NE	NE	NE
MB0483	 -	NE	NE	NE	NE
MB0484	 -	NE	NE	NE	NE
MB0485	 hbhA	NE	NE	NE	NE
MB0486	 -	NE	NE	NE	NE
MB0487	 -	NE	NE	NE	NE
MB0488	 deoC	ES	NE	NE	U
MB0489C	 -	NE	ES	NE	NE
MB0490C	 -	NE	NE	NE	NE
MB0491C	 -	ES	NE	NE	ES
MB0492	 murB	GA	NE	NE	NE
MB0493	 lprQ	GA	NE	NE	NE
MB0494C	 -	GA	NE	NE	NE
MB0495	 -	ES	NE	NE	ES
MB0496	 -	NE	ES	ES	NE
MB0497	 -	NE	NE	NE	NE
MB0498	 -	NE	NE	NE	U
MB0499	 gpm1	NE	AMB	NE	NE
MB0500	 senX3	NE	NE	NE	NE
MB0501	 regX3	NE	NE	NE	NE
MB0502C	 -	NE	NE	NE	NE
MB0503C	 -	NE	NE	NE	NE
MB0504C	 -	NE	NE	NE	NE
MB0505	 -	NE	NE	NE	NE
MB0506C	 -	NE	NE	NE	U
MB0507	 -	NE	NE	NE	NE
MB0508	 -	NE	NE	NE	NE
MB0509	 -	NE	NE	NE	NE
MB0510	 -	ES	NE	NE	U
MB0511	 proC	NE	ES	NE	NE
MB0512	 -	NE	NE	NE	S
MB0512A	 len: 33 aa. Equivalent to Rv0500B len: 33 aa	NE	NE	NE	NE
MB0513	 galE2	NE	NE	NE	NE
MB0514	 -	NE	NE	NE	NE
MB0515C	 cmaA2	NE	NE	NE	U
MB0516C	 -	ES	NE	AMB	U
MB0517C	 serB1	NE	NE	NE	NE
MB0518	 mmpS2	NE	NE	NE	U
MB0519	 mmpL2	NE	NE	NE	NE
MB0520	 -	ES	NE	NE	ES
MB0521	 hemA	ES	AMB	NE	U
MB0523	 hemC	ES	ES	ES	ES
MB0524	 hemD	ES	ES	ES	ES
MB0525	 hemB	NE	ES	ES	NE
MB0526	 -	NE	NE	NE	S
MB0527	 -	NE	AMB	NE	NE
MB0528	 -	NE	NE	NE	NE
MB0529C	 -	NE	NE	NE	NE
MB0530	 -	NE	NE	NE	NE
MB0531	 -	NE	NE	NE	NE
MB0532C	 -	NE	NE	NE	NE
MB0533	 -	NE	NE	NE	NE
